"Year","PgCO2_per_year_to_atmos_global_all_depths","PgCO2_per_year_to_atmos_global_200m_less","PgCO2_per_year_to_atmos_global_200m_greater","PgCO2_per_year_to_atmos_global_400m_greater"
78,1.3981878415121,1.24033296077382,0.157854880738307,0.0573797715724237
79,1.39859709036542,1.24039435235313,0.158202738012288,0.0576015081666593
80,1.39899699668448,1.2404539660909,0.158543030593651,0.0578196154120789
81,1.39938792069542,1.24051188564106,0.158876035054327,0.0580341780951148
82,1.39977020722267,1.24056819003977,0.15920201718279,0.0582452800772956
83,1.40014418249632,1.24062295398689,0.159521228509545,0.0584530003224112
84,1.40051015940742,1.24067624811136,0.159833911296084,0.0586574174047756
85,1.40086843662952,1.24072813921872,0.160140297410767,0.0588586079224719
86,1.4012192995187,1.2407786905262,0.160440608992501,0.0590566467171571
87,1.40156302067387,1.24082796187853,0.160735058795371,0.0592516067940193
88,1.40189986058225,1.24087600995359,0.16102385062867,0.0594435593560179
