"Year","PgCO2_to_atmos_cumulative_global_alldepths","PgCO2_to_atmos_cumulative_global_200m_less","PgCO2_to_atmos_cumulative_global_200m_greater","PgCO2_to_atmos_cumulative_global_400m_greater","PgCO2_to_atmos_cumulative_global_alldepths_unadjusted","PgCO2_to_atmos_cumulative_global_200m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_400m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_200m_less_unadjusted"
44,24.8259381405066,22.7506804174116,2.07525772309537,0.665217956137192,27.8261590783833,6.12715709417968,3.08457559118224,21.7674902371756
45,25.3743090124778,23.2423605313551,2.13194848112321,0.684626643588799,28.4116501946785,6.25607880546157,3.14947824630941,22.2255007057425
46,25.9230541840773,23.7341127692797,2.18894141479794,0.704183761262999,28.9971413109667,6.38500051674193,3.21438090143581,22.683511174304
47,26.4721613182505,24.2259339357773,2.24622738247363,0.723886623177997,29.582632427251,6.51392222802142,3.27928355656178,23.1415216428624
48,27.0216185369742,24.7178210037255,2.30379753324911,0.743732579386475,30.1681235435331,6.64284393930042,3.3441862116875,23.5995321114191
49,27.5714144163274,25.2097711063083,2.36164331001947,0.763719018524666,30.7536146598139,6.77176565057913,3.40908886681307,24.0575425799748
50,28.1215379919627,25.7017815430245,2.41975644893852,0.783843368942368,31.3391057760939,6.90068736185768,3.47399152193856,24.5155530485298
51,28.671978724179,26.19384974459,2.47812897958935,0.804103102313182,31.9245968923735,7.02960907313614,3.53889417706401,24.9735635170846
52,29.222726496497,26.6859732754275,2.53675322106985,0.824495734583163,32.5100880086529,7.15853078441455,3.60379683218943,25.4315739856392
53,29.7737716101779,27.1781498316546,2.59562177852375,0.845018828485673,33.0955791249322,7.28745249569293,3.66869948731484,25.8895844541937
54,30.3251047702408,27.6703772335428,2.65472753669847,0.865669993943738,33.6810702412113,7.41637420697129,3.73360214244024,26.3475949227481
55,30.8767170678705,28.1626534185101,2.71406364936089,0.886446884969459,34.2665613574905,7.54529591824965,3.79850479756563,26.8056053913024
56,31.4285999787818,28.6549764435746,2.77362353520774,0.907347203510534,34.8520524737696,7.67421762952799,3.86340745269102,27.2636158598568
57,31.9807453609618,29.1473444890306,2.83340087193166,0.928368701748716,35.4375435900486,7.80313934080634,3.92831010781641,27.7216263284111
58,32.5331453832232,29.6397557957391,2.89338958748448,0.949509181761992,36.0230347063277,7.93206105208468,3.9932127629418,28.1796367969655
59,33.0857925754743,30.1322087016096,2.95358387386525,0.970766517771761,36.6085258226068,8.06098276336302,4.05811541806719,28.6376472655198
60,33.6386797544064,30.6247016345171,3.01397811988977,0.992138597345033,37.1940169388859,8.18990447464136,4.12301807319257,29.0956577340741
61,34.1918000425642,31.117233106269,3.07456693629573,1.01362335483607,37.779508055165,8.3188261859197,4.18792072831796,29.5536682026285
62,34.7451468566273,31.6098017072778,3.13534514935011,1.03521877317897,38.364999171444,8.44774789719804,4.25282338344335,30.0116786711828
63,35.2987138925497,32.1024061017432,3.1963077908071,1.05692288183609,38.9504902877231,8.57666960847638,4.31772603856873,30.4696891397371
64,35.852495112399,32.5950450232249,3.25745008917473,1.07873375582748,39.5359814040022,8.70559131975472,4.38262869369412,30.9276996082915
65,36.4064847329554,33.0877172705368,3.31876746241924,1.10064951562561,40.1214725202812,8.83451303103305,4.44753134881951,31.3857100768458
66,36.9606772118543,33.5804217039168,3.38025550793807,1.122668324528,40.7069636365603,8.96343474231139,4.51243400394489,31.8437205454001
67,37.5150672359703,34.0731572414412,3.44190999452974,1.14478838843619,41.2924547528394,9.09235645358973,4.57733665907028,32.3017310139545
68,38.0696497117698,34.5659228556646,3.50372685610591,1.16700795546626,41.8779458691184,9.22127816486807,4.64223931419567,32.7597414825088
69,38.6244197543709,35.0587175704692,3.56570218390237,1.18932531457813,42.4634369853975,9.35019987614641,4.70714196932105,33.2177519510631
70,39.1793726791599,35.5515404581083,3.6278322210521,1.21173879626067,43.0489281016766,9.47912158742475,4.77204462444644,33.6757624196174
71,39.7345039896721,36.0443906364123,3.69011335326031,1.23424676902198,43.6344192179556,9.60804329870309,4.83694727957183,34.1337728881718
72,40.2898093690723,36.5372672661941,3.75254210287884,1.25684763899141,44.2199103342347,9.73696500998143,4.90184993469722,34.5917833567261
73,40.8452846725177,37.0301695488027,3.81511512371569,1.27953984997747,44.8054014505137,9.86588672125977,4.9667525898226,35.0497938252804
74,41.4009259189241,37.5230967238285,3.87782919509632,1.30232188250777,45.3908925667928,9.99480843253811,5.03165524494799,35.5078042938348
75,41.9567292831795,38.0160480669503,3.94068121622997,1.32519225291337,45.9763836830719,10.1237301438164,5.09655790007338,35.9658147623891
76,42.5126910892414,38.5090228879159,4.00366820132627,1.34814951291269,46.5618747993509,10.2526518550948,5.16146055519876,36.4238252309434
77,43.0688078038453,39.0020205286482,4.06678727519765,1.37119224944061,47.14736591563,10.3815735663731,5.22636321032415,36.8818356994977
